epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,298.523,0.94513,1.18882,1.09711,0.55005,0.51777,0.54757,0.36737,1.00814,1.12575,1.07922,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169,0.0009507,0.0003169
71,302.637,0.94211,1.1958,1.08262,0.52454,0.50708,0.53149,0.35669,1.01384,1.13258,1.08284,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
72,306.754,0.94919,1.19812,1.08871,0.57065,0.47769,0.54728,0.36627,1.01315,1.13325,1.07962,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971,0.0008913,0.0002971
73,310.838,0.94746,1.1758,1.0856,0.56563,0.47644,0.54148,0.36149,1.00729,1.1173,1.07544,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
74,314.945,0.90952,1.17177,1.07132,0.50216,0.52223,0.53809,0.36367,1.00443,1.11803,1.07764,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773,0.0008319,0.0002773
75,319.059,0.93793,1.18943,1.09349,0.52777,0.53403,0.54834,0.36689,1.00444,1.1229,1.07744,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
76,323.124,0.94384,1.21225,1.09992,0.56975,0.50638,0.53988,0.35917,1.00819,1.1206,1.07964,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575,0.0007725,0.0002575
77,327.198,0.90504,1.16327,1.07986,0.53154,0.52084,0.5383,0.36961,0.99859,1.10871,1.06977,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
78,331.309,0.90879,1.1362,1.0729,0.61109,0.46907,0.54503,0.37709,0.99081,1.09114,1.06248,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377,0.0007131,0.0002377
79,335.43,0.92828,1.15489,1.08023,0.6,0.48384,0.54142,0.37246,0.99047,1.10109,1.06399,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
80,339.537,0.91951,1.16206,1.07592,0.5506,0.48057,0.54033,0.37278,0.99648,1.10071,1.06692,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179,0.0006537,0.0002179
81,343.733,0.92162,1.15209,1.0806,0.5017,0.54595,0.55366,0.37893,1.00186,1.10268,1.07129,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
